study,crop_type,uav_model,genotype,flight_height,flight_speed,spray_volume,atomization_diameter,temperature,humidity,wind_speed,coverage,droplet_size,droplet_density,canopy_position
Vitória_2022,coffee,JT-5,A1,2,,,off,,,,9,325,69.2,upper
Vitória_2022,coffee,JT-5,A1,3,,,off,,,,9.5,330,68.1,upper
Vitória_2022,coffee,JT-5,A1,4,,,off,,,,8.1,320,68.1,upper
Vitória_2022,coffee,JT-5,LB1,2,,,off,,,,7.3,335,57.7,upper
Vitória_2022,coffee,JT-5,LB1,3,,,off,,,,7,337,66.1,upper
Vitória_2022,coffee,JT-5,LB1,4,,,off,,,,6.9,315,54.2,upper
Vitória_2022,coffee,JT-5,P1,2,,,off,,,,6.9,330,51.7,upper
Vitória_2022,coffee,JT-5,P1,3,,,off,,,,7,325,49.8,upper
Vitória_2022,coffee,JT-5,P1,4,,,off,,,,6.7,314,54,upper
Wu_2025,tea,T30,,2,7,30,,23-31,48-72,0.2-1.6,3.2,224.4,,surface
Wu_2025,tea,T30,,2,3,30,,23-31,48-72,0.2-1.6,5.8,240.2,,surface
Wu_2025,tea,T30,,3.5,3,30,,23-31,48-72,0.2-1.6,4.1,235.6,,surface
Wu_2025,tea,T30,,5,3,30,,23-31,48-72,0.2-1.6,3.5,230.1,,surface
Wu_2025,tea,T30,,2,3,60,,23-31,48-72,0.2-1.6,8.9,252.3,,surface
Wu_2025,tea,T30,,3.5,3,60,,23-31,48-72,0.2-1.6,7.2,247.8,,surface
Wu_2025,tea,T30,,5,3,60,,23-31,48-72,0.2-1.6,6.1,241.5,,surface
Wu_2025,tea,T30,,2,3,90,,23-31,48-72,0.2-1.6,12.9,277,,surface
Wu_2025,tea,T30,,3.5,3,90,,23-31,48-72,0.2-1.6,10.5,265.4,,surface
Wu_2025,tea,T30,,5,3,90,,23-31,48-72,0.2-1.6,8.3,256.7,,surface
Wu_2025,tea,T40,,2,3,60,medium,23-31,48-72,0.2-1.6,7.5,280,,surface
Wu_2025,tea,T40,,3.5,3,60,medium,23-31,48-72,0.2-1.6,6.8,265,,surface
Wu_2025,tea,T40,,5,3,60,medium,23-31,48-72,0.2-1.6,5.2,218,,surface
Wu_2025,tea,T40,,2,3,105,medium,23-31,48-72,0.2-1.6,10.2,350,,surface
Wu_2025,tea,T40,,3.5,3,105,medium,23-31,48-72,0.2-1.6,9.1,320,,surface
Wu_2025,tea,T40,,5,3,105,medium,23-31,48-72,0.2-1.6,7.8,285,,surface
Wu_2025,tea,T40,,2,3,150,medium,23-31,48-72,0.2-1.6,12.8,450,,surface
Wu_2025,tea,T40,,3.5,3,150,medium,23-31,48-72,0.2-1.6,11.5,410,,surface
Wu_2025,tea,T40,,5,3,150,medium,23-31,48-72,0.2-1.6,9.3,380,,surface
Wu_2025,tea,T40,,2,5,105,medium,23-31,48-72,0.2-1.6,8.7,335,,surface
Wu_2025,tea,T40,,3.5,5,105,medium,23-31,48-72,0.2-1.6,7.9,305,,surface
Wu_2025,tea,T40,,5,5,105,medium,23-31,48-72,0.2-1.6,6.4,270,,surface
Wu_2025,tea,T40,,3.5,3,105,coarse,23-31,48-72,0.2-1.6,10.8,390,,surface
Wu_2025,tea,T40,,3.5,3,105,fine,23-31,48-72,0.2-1.6,8.3,310,,surface
CSV_Study,wheat,GRAS T20,,,3.5,15,,13.9,32.9,2.1,4.5,323,,
CSV_Study,wheat,GRAS T20,,,4.5,15,,13.6,31,3,5.5,307,,
CSV_Study,wheat,GRAS T20,,,5.5,15,,14.1,46.7,3.4,3.2,360,,
CSV_Study,wheat,GRAS T20,,,4.5,11.7,,13.9,32.9,5.2,,,,
CSV_Study,wheat,GRAS T20,,,4.5,15,,13.6,31,3,,,,
CSV_Study,wheat,GRAS T20,,,4.5,18.3,,13.6,31,2.8,,,,
CSV_Study,wheat,GRAS T20,,,3.5,19.4,,17.4,40.5,2.7,,,,
CSV_Study,wheat,GRAS T20,,,4.5,15,,13.6,31,3,,,,
CSV_Study,wheat,GRAS T20,,,5.5,12.3,,12.9,32,2.9,10.9,,,